"company","companyNumber","directors","addressLine1","addressLine2","locality","region","postcode","siteAddress","planningReference","localAuthority","units","gdv","loanAmount"
"THE LONDON GOLF CLUB DEVELOPMENTS LIMITED","02469277","Matthew Galvin; Sean Oberly","South Ash Manor Estate","Ash Sevenoaks","Kent","","TN15 7EN","Land South Of Hoe Valley School And East Of Railway Tracks Egley Road Woking Surrey GU22 0NH","PLAN/2025/0896","Woking","74","36053000","23434000"
"DANESCROFT (PCDF IV SWINDON) LLP","OC426355","Danescroft Llp; Freof Llp","Third Floor Queensberry House","3 Old Burlington Street","London","","W1S 3AE","Phase 2 Land At Foxbridge Village North Wanborough Road Swindon SN4 0AB","S/25/0992","Swindon","71","22380000","14547000"
"STORY HOMES LIMITED","02275441","Norman Story; Colin Wood","Story House Lords Way","Kingmoor Business Park","Carlisle","","CA6 4SL","Land south of Nook Lane, Dalston, Carlisle, CA5 7JG","26/0228","Carlisle","99","21362000","13885000"
"LION WORKS KELHAM LIMITED","09205581","Javed Saddique","72a King William Street","","Blackburn","Lancashire","BB1 7DT","Lion Works 40 Ball Street Sheffield S3 8DB","25/03697/FUL","Sheffield","84","11760000","7644000"
"SCARBOROUGH FLOWER FUND HOMES","00950467","Sally Brown; Antony Green; Nicholas Jones; Simon Ward; Geoffrey Winn","3 Flower Croft","Filey Road","Scarborough","North Yorkshire","YO11 3AS","1 - 36 Flower Garth Scarborough North Yorkshire YO12 6PB","26/01841/FUL","North Yorkshire","36","7938000","5160000"
"SOVEREIGN HILL PARTNERSHIP LLP","OC447695","Hill Limited; Sovereign Limited","Sovereign House","Basing View","Basingstoke","Hampshire","RG21 4FA","Saxon Court Sarum Hill Basingstoke Hampshire RG21 8SR","25/02456/FUL","Basingstoke","34","6783000","4409000"
"BARCLAY CORNER LTD","16253600","Garry Britnell; Brian White","Matrix House 12-16 Lionel Road","","Canvey Island","","SS8 9DE","1 High Street Canvey Island Essex SS8 7RA","25/0695/FUL","Castle Point","21","4851000","3153000"
"AVANTA HOMES LTD","16574509","Muhammad Sufyan","27 Shackleton Road","","Slough","","SL1 3RS","Land West Of Westfield Avenue Earl Shilton Leicestershire","24/01066/FUL","Hinckley and Bosworth","18","4631000","3010000"
"CANTIUM LAND AND DEVELOPMENT LTD","15455717","James Pace; Julian Wilkinson","The Goods Shed","Jubilee Way","Faversham","Kent","ME13 8GD","St Nicholas Campsite Court Road St Nicholas At Wade Birchington Kent CT7 0HN","F/TH/25/0319","Thanet","13","4232000","2751000"
"JAMES HILL VENTURES LIMITED","09773570","James Hill","C/O Ground Floor St Paul's House","23 Park Square","Leeds","","LS1 2ND","Unit 12 - 12A Torbay Trading Estate New Road Brixham TQ5 8NF","P/2025/0760","Torbay","23","3502000","2276000"
"MERCATURA DEVELOPMENTS LIMITED","08292452","Andrew Horsefield; Matthew Keller; Tiffany Keller","1-2 Rhodium Point Hawkinge Business Park","Spindle Close","Hawkinge, Folkestone","Kent","CT18 7TQ","Land at Foxbury, Epsom Road, West Horsley, Leatherhead, KT24 6AR","25/P/01355","Guildford","4","3463000","2251000"
"WALTER C. BRIGG LIMITED","00817754","June Brigg; Richard Brigg; Roger Brigg","Crag Side Dick Lane","Cowling","Keighley","North Yorkshire","BD22 0JZ","Land To The South Of Laycock Fields Cowling Keighley BD22 0DR","26/00704/FUL","North Yorkshire","8","2688000","1747000"
"GRAPE VINE COTTAGE LIMITED","14015893","Dan Stocks; Ronald Stocks","Little Acre","Old Rectory Lane","East Horsley","","KT24 6QH","Little Acre, Old Rectory Lane, East Horsley, Leatherhead, KT24 6QH","25/P/00514","Guildford","3","2597000","1688000"
"JT LIFESTYLE HOMES LIMITED","12095037","Jan Telensky","Charlottes Court","Proctor Way","Luton","","LU2 9PE","49 - 51 Collingdon Street Luton LU1 1RT","25/00378/FUL","Luton","14","2514000","1634000"
"COUNTRY HOUSE HOMES LIMITED","08547749","Guy Osborne; Matthew Stevens","51 The Stream","Ditton","Aylesford","Kent","ME20 6AG","Land North Of Victoria Ph East Farleigh Gallants Lane East Farleigh Kent ME15 0BW","25/503831/FULL","Mid Kent","4","2310000","1502000"
"CC33 PROPERTY LTD","08620635","Klaus Bach","6-8 Manvers Road","Swallownest","Sheffield","","S26 4UD","Krown Allen Street Sheffield S3 7AW","26/00909/CDPN","Sheffield","10","2180000","1417000"
"LANDMARK MIDLAND LIMITED","05809430","Gary Hartland","3 Hutbridge Cottages Main Road","Ombersley","Droitwich","","WR9 0EL","Lloyds Bank Queen Square Wolverhampon WV1 1RF","26/00059/LBC","Wolverhampton","20","2100000","1365000"
"LANDMARK MIDLAND LIMITED","05809430","Gary Hartland","3 Hutbridge Cottages Main Road","Ombersley","Droitwich","","WR9 0EL","Lloyds Bank Queen Square Wolverhampton WV1 1RF","26/00062/FUL","Wolverhampton","18","1890000","1229000"
"ST LAKE PROPERTY VENTURES LTD","16238422","Sharon Lake; Thomas Lake","21 Barton Close","","East Cowes","","PO32 6LS","Derwentwater Court Bensham Gateshead NE8 2HB","DC/25/00636/FUL","Gateshead","10","1785000","1160000"
"BURNT MILLS DEVELOPMENTS LTD","16243540","Steven Duffell; Sharon Katanka","67 Westow Street","","London","","SE19 3RW","Claremont Farm Burnt Mills Road North Benfleet Basildon Essex","26/00074/FULL","Basildon","3","1772000","1152000"
"FORWARD INVESTMENTS 2017 LIMITED","10884773","Inez De Koning; Jonathon Grove","The Old Bank","14 Bank Street","Lutterworth","Leicestershire","LE17 4AJ","Land East Of Hazeldene Fold Main Street Minskip York North Yorkshire YO51 9PH","26/01660/FUL","North Yorkshire","5","1680000","1092000"
"DARCY PROPERTY DEVELOPMENTS LIMITED","08247371","David Purnell; Linda Purnell","41 High Street","Kingswood","Bristol","","BS15 4AA","Land Off The Glebe Wrington BS40 5LX","25/P/2382/FUL","North Somerset","3","1465000","952000"
"BAILDON MILL DEVELOPMENT 4 LIMITED","16904450","Jahanara Choudhury","3 Pinfold","","Baildon","West Yorkshire","BD17 6EF","Baildon Mills Northgate Baildon West Yorkshire","25/04175/MAF","Bradford","14","1330000","865000"
"NEARY ESTATES LTD","16433725","Adrian Neary; Lisa Neary","Darrach Cottage Silver Hill","Well End","Borehamwood","","WD6 5PW","Land Rear Of 126 Aldenham Road Bushey Hertfordshire","25/1789/FUL","Hertsmere","2","1283000","834000"
"ALDENHAM ESTATES LIMITED","03961097","Mark Cherry; Tanya Cherry","2 Castle Business Village","Station Road","Hampton","Middlesex","TW12 2BX","Burness Cottages Aldenham Road Elstree Hertfordshire","26/0160/FUL","Hertsmere","2","1283000","834000"
"TOLDUE PROPERTY HOLDINGS LIMITED","14187048","Elio Mistretta; Anna Sole","Nightingale House","46-48 East Street","Epsom","Surrey","KT17 1HQ","46 Cavendish Road Woking Surrey GU22 0EP","PLAN/2025/0905","Woking","2","974000","633000"
"SOPHELLA INVESTMENTS LIMITED","14757266","Colin Brace","Martlet House Unit E1 Yeoman Gate","Yeoman Way","Worthing","","BN13 3QZ","42 Hurst Road Hassocks West Sussex BN6 9NL","DM/25/2626","Mid Sussex","2","945000","614000"
"METTERSPROPERTIES LTD","15377163","Neil Metters; Ragan Metters","207 The Broadway","","Sunderland","","SR4 9HB","38 Toward Road Sunderland SR2 8JF","25/02890/FUL","Sunderland","6","900000","585000"
"HAMILTON STREET DEVELOPMENTS LIMITED","16133491","Kirsty Biden; Luke Biden","Greengate Business Centre","2 Greengate Street","Oldham","","OL4 1FN","30 Eastway Shaw Oldham OL2 8NY","FUL/354959/25","Oldham","6","840000","546000"
"INTERSTAR BUILDING & UTILITIES LIMITED","16960926","Stephen Robinson","13 Denbigh Way","","Barry","","CF62 9AT","1A Wilsden Avenue Luton LU1 5HL","26/00299/FUL","Luton","4","684000","445000"
"KOBE CAPITAL LTD","16433849","James Blackwell","Northumbria House","Samson Close","Newcastle Upon Tyne","","NE12 6DX","8 Langcliffe Avenue Harrogate North Yorkshire","25/04499/FUL","North Yorkshire","3","660000","429000"
"ALPHABET HOMES LIMITED","08022550","Richard Dears; Andrew Smith","Office 6,  Rathbone Building Liverpool Innovation Park","360 Edge Lane","Liverpool","Merseyside","L7 9NN","Bird I'th Hand 200 Prescot Road St Helens WA10 3HE","P/2025/0576/FUL","St Helens","6","570000","371000"
"CONSULTING GROUP INTERNATIONAL LTD.","13586830","Benjamin Kauffer","86-90 Paul Street","","London","","EC2A 4NE","22 Sycamore Road Dartford Kent DA1 2QS","26/00163/FUL","Dartford","2","450000","293000"
"A&B LEGACY INVESTMENTS LTD","14833105","Yaacov Izadato","3 Green Lane","","London","","NW4 2NL","2 Marden Road Whitley Bay Tyne And Wear NE26 2JH","26/00545/FUL","North Tyneside","2","410000","267000"
"SALTWELL PARK DEVELOPMENTS LTD","08218177","April Carney; Bernard Carney","Belle Vue House Belle Vue Bank","Low Fell","Gateshead","Tyne & Wear","NE9 6BT","Gateshead Council Depot The Court Yard Durham Road Gateshead NE9 5AW","DC/25/01045/LBC","Gateshead","2","340000","221000"
"ALPHA ASSET HOLDINGS (UK) LTD","15064122","Neil Anand","Mailbox At Coalville News","14 Hotel Street","Coalville","Leicestershire","LE67 3EP","Stamford And Warrington Hotel 70 - 72 High Street Coalville Leicestershire LE67 3EE","25/00365/FUL","North West Leicestershire","2","292000","190000"
"DAVIDSONS DEVELOPMENTS LIMITED","04346861","Graham Brown; Christian O'Connell; Gary Reynolds; David Wilson; James Wilson; Robert Wilson","Wilson House","Leicester Road","Ibstock","Leicestershire","LE67 6HP","Land North Of Grange Road Hugglescote Coalville Leicestershire LE67 2BQ","25/01611/VCIM","North West Leicestershire","107","26402000","17161000"
"MAPLEVALE DEVELOPMENTS LIMITED","08235420","Richard Kirkland; Ian Reynolds","Overley House Overley Lane","Alrewas","Burton On Trent","Staffordshire","DE13 7DF","Midland Pig Producers Ltd Hay End Lane Fradley Lichfield Staffordshire WS13 8NW","25/01582/REMM","Lichfield","77","22638000","14715000"
