"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"P/2025/3059","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","West London Volkswagen,Capital Interchange Way,Brentford,TW8 0EX","TW8 0EX","Details of condition 12 - External lighting and security (Block C only) and condition 20 Part E - Land Contamination (Block C only) of planning permission 01508/A/P6 approved 10/09/2020 for the redevelopment of the former Citroen site to provide a mixed use scheme of 441 residential units (Class C3) including 50% affordable housing with ancillary facilities, flexible uses (within Classes A1, A2, A3 and B1) and a nursery (Class D1). Comprising buildings of 12, 13, 16, 17 and 18 storeys in height with associated cycle parking, car parking, play space, landscaping and public realm improvements.","441","207270000","145089000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2025%2F3059","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/02630/RES","Granted","Granted","20/11/2024","Dacorum Borough Council","outline","hertfordshire","hemel-hempstead","LA3, Land At West Hemel Hempstead","","Details of all matters reserved pursuant to outline planning permission 4/03266/18/MFA for 452 no. dwellings, car parking, garaging and incidental buildings and the internal roads. Details of appearance, landscaping, layout and scale to be considered","452","199806600","139864620","442050","","","","","https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=SN72I5FOML600","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/01018/SCO","Granted","Granted","05/05/2026","Dacorum Borough Council","outline","hertfordshire","hemel-hempstead","Land At Bulbourne Road Grove Road Tring Hertfordshire","","Outline planning application for up to 400 dwellings with access from Grove Road and Bulbourne Road, internal routes, public open space, SuDS, walking/cycling infrastructure, and associated landscaping/enabling works","400","176820000","123774000","442050","","","","","https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TEK7XFFO04N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2025/3277","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","69-76,High Street, Brentford, TW8 0AA","TW8 0AA","Details of Condition 17 (Water Network Upgrades) submitted pursuant of planning permission 00607/69-76/P12 (P/2022/1142) dated 10/11/2022 for the demolition of the existing building and erection of four blocks ranging from three to eleven storeys to provide 333 residential units and commercial space with associated car and cycle parking, landscaping, amenity space and ancillary development.","333","156510000","109557000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2025%2F3277","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2026/0719","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","69-76,High Street, Brentford, TW8 0AA","TW8 0AA","Details of Condition 28b (Energy Strategy) for Block D submitted pursuant of planning permission 00607/69-76/P12 (P/2022/1142) dated 10/11/2022 for demolition of the existing building and erection of four blocks ranging from three to eleven storeys to provide 333 residential units and commercial space with associated car and cycle parking, landscaping, amenity space and ancillary development.","333","156510000","109557000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2026%2F0719","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2026/0720","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","69-76,High Street,Brentford,Hounslow,TW8 0AA","TW8 0AA","Details of Condition 9b and 9c (Internal Noise Levels) for Block B submitted pursuant of planning permission 00607/69-76/P12 (P/2022/1142) dated 10/11/2022 for demolition of the existing building and erection of four blocks ranging from three to eleven storeys to provide 333 residential units and commercial space with associated car and cycle parking, landscaping, amenity space and ancillary development.","333","156510000","109557000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2026%2F0720","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2026/0895","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","69-76,High Street, Brentford, TW8 0AA","TW8 0AA","Details of Condition 28b (Energy Strategy) for Block B submitted pursuant of planning permission 00607/69-76/P12 (P/2022/1142) dated 10/11/2022 for Demolition of the existing building and erection of four blocks ranging from three to eleven storeys to provide 333 residential units and commercial space with associated car and cycle parking, landscaping, amenity space and ancillary development.","333","156510000","109557000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2026%2F0895","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2026/1905","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","69-76 High Street, Hounslow, Brentford TW8 0AA","TW8 0AA","Details of Condition 9b and 9c (Internal Noise Levels) for Block A submitted pursuant of planning permission 00607/69-76/P12 (P/2022/1142) approved 10/11/2022 for the demolition of the existing building and erection of four blocks ranging from three to eleven storeys to provide 333 residential units and commercial space with associated car and cycle parking, landscaping, amenity space and ancillary development.","333","156510000","109557000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2026%2F1905","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2026/1906","Decided","APPROVED","","London Borough of Hounslow","primary_consent","greater-london","hounslow","69-76 High Street, Brentford, TW8 0AA","TW8 0AA","Details of condition 28b (energy statement) for block A submitted pursuant to planning permission 00607/69 76/P12 (P/2022/1142) approved 10/11/2022 for the demolition of the existing building and erection of four blocks ranging from three to eleven storeys to provide 333 residential units and commercial space with associated car and cycle parking, landscaping, amenity space and ancillary development.","333","156510000","109557000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2026%2F1906","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"P/2025/3087","Decided","APPROVED","","London Borough of Hounslow","reserved_matters","greater-london","hounslow","Land south of Brentford High Street and Waterside,High Street,Brentford,London,TW8 8AE","TW8 8AE","Details of condition 5 (Foul Water Capacity) and condition 6 (Surface Water Capacity) for Plot E pursuant to planning permission P/2021/4778 and 00607/BA/P8 dated 05/04/2023 for reserved matters for access, scale, appearance, layout and landscaping for Plot E and Plot F submitted pursuant to outline planning permission 00607/BA/P2 dated 02/04/2015 for outline planning for the demolition of existing buildings and retention of a number of buildings as part of a comprehensive mixed use development comprising a maximum of 111,821sqm (GEA) including a maximum of 876 residential units along with associated works. The proposed development includes retail (A1 use), residential (C3 use), business (B1 use) and leisure (D1/D2 use) and associated uses as part of the development including car parking, cycle storage, and an energy centre. Creation of enhanced vehicular access and public realm works including hard and soft landscaping, works to the river walls and facilities associated with the mooring of boats, boat storage and maintenance. Full details are submitted for Phase 1 which includes erection of 323 residential units (C3 use), retail (A1 use) and commercial units (B1 use), an energy centre, car and cycle parking and associated works with creation of new vehicular and pedestrian access and circulation. Works to 129-130 High Street, works to and within Workhouse Dock including the provision of mooring facilities, a new pontoon access and associated facilities and other works incidental to the proposals (including Environmental Impact Assessment)","323","151810000","106267000","470000","","","","","https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P%2F2025%2F3087","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
