"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"26/01018/SCO","Granted","Granted","05/05/2026","Dacorum Borough Council","outline","hertfordshire","hemel-hempstead","Land At Bulbourne Road Grove Road Tring Hertfordshire","","Outline planning application for up to 400 dwellings with access from Grove Road and Bulbourne Road, internal routes, public open space, SuDS, walking/cycling infrastructure, and associated landscaping/enabling works","400","180000000","126000000","450000","","","","","https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TEK7XFFO04N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1658/DRC","Permitted","Permitted","05/05/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land South Of Chediston Street Halesworth Suffolk","","Discharge of Condition 3 of DC/21/5669/ARM - ""Residential development of 161 dwellings, together with associated infrastructure and open space - submission of Reserved Matters under Outline Planning Permission DC/20/1049/VOC and details to address the requirements of Conditions 22, 23, 32 and 33"" Discharging Condition 3 ""Prior to any above ground works details of all external facing and roofing materials shall be submitted to and approved by the Local Planning Authority,"" with HAL7-007L Materials Plan and HAL7 - Brick Comparison Updating previously approved bricks on specific plots:- - Plots 90 - 92, 130, 133 & 134 amended to Ibstock Brunswick Anique Red - Plots 75-83, 86-88, 93-94, 128-129, 131,132 & 135-140 amended to Ibstock Rosa Blanca - Plots 71-74, 84-85 & 89 amended to Ibstock New Ivanhoe Cream","161","45080000","31556000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TEJZQIQXIJN00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1829/DRC","Permitted","Permitted","18/05/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land West Of Mobbs Way Oulton Suffolk","","Discharge of Condition No. 13 of DC/22/4102/ARM - (Approval of Reserved Matters for 73 Dwellings Phase 3B pursuant to application DC/15/0324/VOC - (Variation of Condition 31 and Removal of Condition 44 of DC/01/0977/OUT (Formerly W17802- Outline Application for a mixed-use development comprising of residential, neighbourhood shopping centre, community hall, primary school, play areas and country park)) Condition 13 - Landscape and Ecological Management Plan","73","20440000","14308000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF83CTQXITA00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1927/AME","Permitted","Permitted","26/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South And East Of Adastral Park Martlesham Heath Martlesham Suffolk","","Non Material Amendment of DC/24/4345/ARM - Approval of Reserved Matters for Parcel W5 of DC/24/2810/VOC (as varied from DC/23/3984/VOC; varied from DC/20/1234/VOC; varied from original planning permission DC/17/1435/OUT [Outline planning permission for up to 2000 dwellings, an employment area of 0.6ha (use class B1) primary local centre comprising use class A1, A2, A3, A4, A5, B1, C3, 02) secondary centre (comprising possible use class A1, A3 and A4), a school, green infrastructure (including Suitable Accessible Natural Green space (SANGs) outdoor play areas, sports ground and allotments/community orchards), public footpaths and cycleways, vehicle accesses and associated infrastructure]) - Construction of 69 homes (including 17 affordable homes) garage, parking, surface water drainage basin, internal access roads, landscaping and associated infrastructure (W5). This includes details submitted in compliance with conditions 10, 13, 16, 32, 44 and 67 and details submitted to formally discharge conditions 25, 26, 27, 28, 30(a), 42, 49 and 63 of DC/24/2810/VOC - Minor amendments to approved windows detailing relating only to house types 1144 (plots 54, 66 & 67) and 1317 (plots 6 & 25).","69","19320000","13524000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFN13IQXIZ300","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1964/AME","Permitted","Permitted","27/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Primary School And East Of The Street Eyke Suffolk IP12 2QW","IP12 2QW","Non Material Amendment of DC/22/4775/FUL - Full planning application for erection of 65 dwellings (Use Class C3); change of use of Agricultural Land to provide for the expansion of the adjacent Eyke CE Primary School site (Use Class F1(a)); vehicular and pedestrian access from The Street; internal access road; car and cycle parking; Local Equipped Area for Play (LEAP); public open space; landscaping; Sustainable Urban Drainage Systems; and associated infrastructure including highway works. - An additional parking space is to be provided adjacent to the approved parking space for plot 45. There are no alterations to the house or materials. The external works details for walls remain as approved but the extent of the side wall and garden fence is adjusted to accommodate the parking space.","65","18200000","12740000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFPF7SQXJ0N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00678/2CN14","Application Permitted","Application Permitted","22/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Midway Multistorey Car Park The Midway Newcastle Under Lyme Staffordshire","","Application for approval of proposed scheme drainage report as required by condition 14 of planning permission reference 24/00678/FUL for Proposed repurposing of existing car park structure into new residential accommodation consisting of 111 apartments and associated communal facilities.","111","10406250","7284375","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIBFAOBM0DH00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"23/02302/AMD1","Approved","Approved","24/06/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 286686 74699 Sandygate Kingsteignton","","Non-material amendment on planning permission 23/02302/MAJ - Hybrid application for 33 dwellings, comprising a full application for 21 residential dwellings, of which 6 are affordable; outline application with only access under consideration for 4 dwellings and 8 custom and self- build plots - Revised plans and description (amended design to house type)","33","9735000","6814500","295000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TH4PCAPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00923/PAP3MA","Decided (Approved)","Decided (Approved)","28/05/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Kimberley Clark Europe Douglas House 40 London Road Reigate Surrey RH2 9QP","RH2 9QP","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 37 apartments.","37","9620000","6734000","477000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFQZHKMVJLK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/01582/DIS","Approved","Approved","22/05/2026","Cheshire West and Chester Council","condition_discharge","cheshire","chester","Winnington Urban Village Winnington Avenue Northwich","","Discharge of condition 12 (validation report) of 14/03279/FUL (Erection of 31 Dwellings (Alternative house designs to scheme approved under reference 12/01837/REM))","31","8680000","6076000","280000","","","","","https://pa.cheshirewestandchester.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFFQM5TEIZN00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00853/PAP3MA","Decided (Approved)","Decided (Approved)","18/05/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Crown House 2 - 8 Gloucester Road Redhill Surrey RH1 1FH","RH1 1FH","Change of use from Class E to C3 (16 units).","16","7632000","5342400","477000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF7Z0JMVIO200","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
