"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"26/0952/VAR","Approved","Approved","14/05/2026","East Devon District Council","variation","devon","exmouth","Land Adjacent Cloakham Lawn And Chard Road Chard Road Axminster","","Variation of condition 21 of planning permission 23/0685/MOUT (Hybrid application: Outline application for the erection of up to 140 dwellings, 0.8 hectares of Class-E employment land, public open space, drainage and ancillary works (all matters reserved except access). Full application for works to football training pitch including drainage improvement work, 4x 15m tall floodlighting columns and erection of 6m high ballstop netting on west side of football pitch and training ground) to change wording from ""...no adverse impacts on the vitality and viability of Axminster town centre...to ""...no unacceptable adverse impacts on the vitality and viability of Axminster town centre...""","140","44800000","31360000","320000","","","","","https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF1BROGHG7600","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/02583/AMD6","Approved","Approved","21/07/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Challabrook Farm Challabrook Lane Bovey Tracey TQ13 9JZ","TQ13 9JZ","Non-material amendment (changes to conditions) to planning permission 19/02583/MAJ - Application for second phase of Residential Development of 128 dwellings. Outline Application for employment site and 5 self build dwelling plots.","128","37120000","25984000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIIY3UPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00840/2CN10","Application Permitted","Application Permitted","10/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Site Of Former Civic Offices Merrial Street Newcastle Under Lyme Staffordshire","","Application for approval of report detailing the enabling works for the site as required by condition 10 of planning permission 24/00840/FUL for Residential development comprising 175 dwellings and associated landscaping","175","33425000","23397500","191000","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGFAM2BMHT000","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1829/DRC","Permitted","Permitted","18/05/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land West Of Mobbs Way Oulton Suffolk","","Discharge of Condition No. 13 of DC/22/4102/ARM - (Approval of Reserved Matters for 73 Dwellings Phase 3B pursuant to application DC/15/0324/VOC - (Variation of Condition 31 and Removal of Condition 44 of DC/01/0977/OUT (Formerly W17802- Outline Application for a mixed-use development comprising of residential, neighbourhood shopping centre, community hall, primary school, play areas and country park)) Condition 13 - Landscape and Ecological Management Plan","73","20348750","14244125","278750","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF83CTQXITA00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1927/AME","Permitted","Permitted","26/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South And East Of Adastral Park Martlesham Heath Martlesham Suffolk","","Non Material Amendment of DC/24/4345/ARM - Approval of Reserved Matters for Parcel W5 of DC/24/2810/VOC (as varied from DC/23/3984/VOC; varied from DC/20/1234/VOC; varied from original planning permission DC/17/1435/OUT [Outline planning permission for up to 2000 dwellings, an employment area of 0.6ha (use class B1) primary local centre comprising use class A1, A2, A3, A4, A5, B1, C3, 02) secondary centre (comprising possible use class A1, A3 and A4), a school, green infrastructure (including Suitable Accessible Natural Green space (SANGs) outdoor play areas, sports ground and allotments/community orchards), public footpaths and cycleways, vehicle accesses and associated infrastructure]) - Construction of 69 homes (including 17 affordable homes) garage, parking, surface water drainage basin, internal access roads, landscaping and associated infrastructure (W5). This includes details submitted in compliance with conditions 10, 13, 16, 32, 44 and 67 and details submitted to formally discharge conditions 25, 26, 27, 28, 30(a), 42, 49 and 63 of DC/24/2810/VOC - Minor amendments to approved windows detailing relating only to house types 1144 (plots 54, 66 & 67) and 1317 (plots 6 & 25).","69","19233750","13463625","278750","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFN13IQXIZ300","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1964/AME","Permitted","Permitted","27/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Primary School And East Of The Street Eyke Suffolk IP12 2QW","IP12 2QW","Non Material Amendment of DC/22/4775/FUL - Full planning application for erection of 65 dwellings (Use Class C3); change of use of Agricultural Land to provide for the expansion of the adjacent Eyke CE Primary School site (Use Class F1(a)); vehicular and pedestrian access from The Street; internal access road; car and cycle parking; Local Equipped Area for Play (LEAP); public open space; landscaping; Sustainable Urban Drainage Systems; and associated infrastructure including highway works. - An additional parking space is to be provided adjacent to the approved parking space for plot 45. There are no alterations to the house or materials. The external works details for walls remain as approved but the extent of the side wall and garden fence is adjusted to accommodate the parking space.","65","18118750","12683125","278750","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFPF7SQXJ0N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00678/2CN14","Application Permitted","Application Permitted","22/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Midway Multistorey Car Park The Midway Newcastle Under Lyme Staffordshire","","Application for approval of proposed scheme drainage report as required by condition 14 of planning permission reference 24/00678/FUL for Proposed repurposing of existing car park structure into new residential accommodation consisting of 111 apartments and associated communal facilities.","111","10545000","7381500","191000","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIBFAOBM0DH00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00923/PAP3MA","Decided (Approved)","Decided (Approved)","28/05/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Kimberley Clark Europe Douglas House 40 London Road Reigate Surrey RH2 9QP","RH2 9QP","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 37 apartments.","37","9620000","6734000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFQZHKMVJLK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"23/02302/AMD1","Approved","Approved","24/06/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 286686 74699 Sandygate Kingsteignton","","Non-material amendment on planning permission 23/02302/MAJ - Hybrid application for 33 dwellings, comprising a full application for 21 residential dwellings, of which 6 are affordable; outline application with only access under consideration for 4 dwellings and 8 custom and self- build plots - Revised plans and description (amended design to house type)","33","9570000","6699000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TH4PCAPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/01582/DIS","Approved","Approved","22/05/2026","Cheshire West and Chester Council","condition_discharge","cheshire","chester","Winnington Urban Village Winnington Avenue Northwich","","Discharge of condition 12 (validation report) of 14/03279/FUL (Erection of 31 Dwellings (Alternative house designs to scheme approved under reference 12/01837/REM))","31","8525000","5967500","275000","","","","","https://pa.cheshirewestandchester.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFFQM5TEIZN00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00853/PAP3MA","Decided (Approved)","Decided (Approved)","18/05/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Crown House 2 - 8 Gloucester Road Redhill Surrey RH1 1FH","RH1 1FH","Change of use from Class E to C3 (16 units).","16","7600000","5320000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF7Z0JMVIO200","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00137/CN21","Application Permitted","Application Permitted","03/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land Off Cross Street Chesterton Newcastle Under Lyme Staffordshire ST5 7HF","ST5 7HF","Application for approval of the Waste Management Plan, as required by condition 21 of planning permission 24/00137/FUL - Detailed (full) planning permission for the erection of 39 dwellings within Use Class C3, formation of open space, hard and soft landscaping, provision of access and associated engineering work at land at Cross Street, Chesterton, Newcastle-under-Lyme.","39","7449000","5214300","191000","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TI4GAFBM06400","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00137/CN23","Application Permitted","Application Permitted","03/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land Off Cross Street Chesterton Newcastle Under Lyme Staffordshire ST5 7HF","ST5 7HF","Application for approval of the External Lighting as required by condition 23 of planning permission 24/00137/FUL - Detailed (full) planning permission for the erection of 39 dwellings within Use Class C3, formation of open space, hard and soft landscaping, provision of access and associated engineering work at land at Cross Street, Chesterton, Newcastle-under-Lyme.","39","7449000","5214300","191000","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TI4G5CBM06400","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00137/CN14","Application Permitted","Application Permitted","03/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land Off Cross Street Chesterton Newcastle Under Lyme Staffordshire ST5 7HF","ST5 7HF","Application for approval of the Hard and soft landscaping as required by condition 14 of planning permission 24/00137/FUL - Detailed (full) planning permission for the erection of 39 dwellings within Use Class C3, formation of open space, hard and soft landscaping, provision of access and associated engineering work at land at Cross Street, Chesterton, Newcastle-under-Lyme.","39","7449000","5214300","191000","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TI4FZLBM06400","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00137/CN08","Application Permitted","Application Permitted","03/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land Off Cross Street Chesterton Newcastle Under Lyme Staffordshire ST5 7HF","ST5 7HF","Application for approval of the cycle storage details as required by condition 8 of planning permission 24/00137/FUL - Detailed (full) planning permission for the erection of 39 dwellings within Use Class C3, formation of open space, hard and soft landscaping, provision of access and associated engineering work at land at Cross Street, Chesterton, Newcastle-under-Lyme.","39","7449000","5214300","191000","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TI4FTYBM06400","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
