"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"22/01324/NON/1","Approved","Approved","18/03/2026","Brentwood Borough Council","non_material_amendment","essex","brentwood","Land Off Chelmsford Road Shenfield","","Non material amendment to application 22/01324/FUL (Construction of 191 dwellings (Class C3), public open space, landscaping, sustainable urban drainage, access and associated infrastructure) to allow for enlargement of the front first-floor windows and an amendment to the second-floor front dormers which have been updated to have square leaded windows to match the style of the ground and first floor windows on the property (lambourne house type).","191","95500000","66850000","500000","","","","","https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC3SK4DJK8W00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1041/AME","Permitted","Permitted","17/03/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land Between High Street And Chapel Lane Pettistree Suffolk","","Non Material Amendment of DC/20/3264/FUL - A phased development comprising Hybrid Planning Application: (i) Full Planning Application - Residential development of 129 dwellings (including affordable housing) together with public open space, roads, accesses, parking garages, drainage and associated infrastructure; (ii) Outline Planning Application - seven No. serviced Self Build Plots with associated access and infrastructure at Land between High Street and Chapel Lane, Pettistree, IP13 0HQ - Addition of PV to 15 No Specific Plots - 71, 72, 73, 74, 75, 78, 89, 90, 91, 92, 93, 99, 100, 101 & 102. Previously approved house type elevation drawings updated to reference PV to the above specific plots.","129","36120000","25284000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1K13QXHLK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/00137/AMD1","Approved","Approved","16/03/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 281169 79019 Southbrook Road Bovey Tracey","","Non-material amendment (change plot 14 from HT-G+ to HT-F and to relocate garage on plot 27) on planning application 19/00137/MAJ for Hybrid planning application comprising a full application for 63 dwellings, together with access, landscaping, open space and associated infrastructure and an outline application for 3 self/custom build plots, with all matters reserved except for access.","63","18270000","12789000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1E7DPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0940/DRC","Permitted","Permitted","09/03/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land South Of Halesworth Road Reydon Suffolk","","Part Discharge of Condition No. 2 of DC/22/0462/ARM - Approval of Reserved Matters of DC/15/3288/OUT - Outline application to enable improvements to Saint Felix School to include residential development, public open space and associated infrastructure on the former playing field at Saint Felix School. Appearance, landscaping, layout and scale, pursuant to outline permission DC/15/3288/OUT for the development of 55 dwellings. - 2 External Materials for plots 2, 22, 26, 41, 35, 48","55","15400000","10780000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBN1RXQXHFL00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0775/AME","Permitted","Permitted","26/02/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Hall Lane Oulton Lowestoft Suffolk NR32 3QG","NR32 3QG","Non Material Amendment of DC/22/2876/ARM - Approval of Reserved Matters Planning Application for 51 dwellings in Phase 3A, pursuant to S73 Application DC/15/0324/VOC, which was permitted on 20th May 2015 and succeeded Outline consent DC/01/0977/OUT for a 'mixed use development comprising of residential, neighbourhood shopping centre, community hall, primary school, play areas and country park - Amendments to footpath to protect TPO.","51","14280000","9996000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TB27SCQXH6M00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"13/01123/NMAM_3","Application Permitted","Application Permitted","16/04/2026","King's Lynn & West Norfolk Borough Council","non_material_amendment","norfolk","kings-lynn","Site At (Former) Fosters Sports Ground Wickets Lane Clenchwarton Norfolk","","NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 13/01123/OM: Outline Application: residential development up to 40 dwellings of which 8 will be affordable","40","10600000","7420000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDLUGUIVLSU00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"20/01019/NON/1","Approved","Approved","24/02/2026","Brentwood Borough Council","non_material_amendment","essex","brentwood","Regent House Hubert Road Brentwood Essex","","Non material amendment to application 20/01019/REM (Approval of reserved matters (Appearance and landscaping) following outline permission (18/01601/OUT) for the construction of a residential block comprising 31 flats, including 11 affordable units and parking provided at a ratio of 0.9 spaces per dwelling) to allow for the change from aluminium framed glazing to uPVC.","31","8370000","5859000","500000","","","","","https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TAYZSDDJJET00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0876/AME","Permitted","Permitted","04/03/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Former County Primary School Fairfield Road Saxmundham","","Non-Material Amendment of DC/16/0709/ARM - Reserved matters (layout, appearance, scale and landscaping) for 16 dwellings. - Recessed rendered dummy windows on front elevation replaced with recessed brickwork panels","16","4480000","3136000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBDSGOQXHBY00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00392/PAP3MA","Decided (Approved)","Decided (Approved)","11/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 10 apartments. As amended on 25/03/2026 and on 29/04/2026.","10","2650000","1855000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBP2OLMVJPC00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00205/DIS","Approved","Approved","24/02/2026","Southampton City Council","condition_discharge","hampshire","southampton","Land to rear of 104 - 107 East Street Southampton SO14 3HH","SO14 3HH","Application for approval of details reserved by conditions 6 (materials storage), 8 (protection of nesting birds), (11, 12 and 13 - contamination) of planning permission ref 19/00348/FUL for 16 flats.","16","2536592","1775614","250000","","","","","https://planningpublicaccess.southampton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TB0HRMOZ0KD00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
