"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"22/01324/NON/1","Approved","Approved","18/03/2026","Brentwood Borough Council","non_material_amendment","essex","brentwood","Land Off Chelmsford Road Shenfield","","Non material amendment to application 22/01324/FUL (Construction of 191 dwellings (Class C3), public open space, landscaping, sustainable urban drainage, access and associated infrastructure) to allow for enlargement of the front first-floor windows and an amendment to the second-floor front dormers which have been updated to have square leaded windows to match the style of the ground and first floor windows on the property (lambourne house type).","191","95500000","66850000","500000","","","","","https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC3SK4DJK8W00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"21/00152/NMAM_5","Application Permitted","Application Permitted","01/05/2026","King's Lynn & West Norfolk Borough Council","non_material_amendment","norfolk","kings-lynn","Land S of Denver Hill N of Southern Bypass E of Nightingale Lane Downham Market Norfolk","","NON-MATERIAL AMENDMENT TO PEMISSION 21/00152/RMM: Reserved Matters, up to 300 dwellings and associated infrastructure and access","300","79500000","55650000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TEDMQ7IVIBB00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1323/DRC","Permitted","Permitted","08/04/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Town Farm Loam Pit Lane Halesworth Suffolk IP19 8EZ","IP19 8EZ","Discharge of Condition No. 5 of Approval of Reserved Matters Ref: DC/22/3156/ARM to DC/18/4947/OUT - Outline Application (Some Matters Reserved) - for up to 190 dwellings (Class C3) with associated access, landscaping, open space and drainage infrastructure at land south of Harrisons Lane, Halesworth. All matters are reserved, save for access - and details to address the requirements of Conditions 2, 5, 6, 7, 10, 15, 16, 17, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33 and 34. - Discharging Ditch crossing detail for footpath connections.","190","53200000","37240000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD6J0FQXI1H00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1041/AME","Permitted","Permitted","17/03/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land Between High Street And Chapel Lane Pettistree Suffolk","","Non Material Amendment of DC/20/3264/FUL - A phased development comprising Hybrid Planning Application: (i) Full Planning Application - Residential development of 129 dwellings (including affordable housing) together with public open space, roads, accesses, parking garages, drainage and associated infrastructure; (ii) Outline Planning Application - seven No. serviced Self Build Plots with associated access and infrastructure at Land between High Street and Chapel Lane, Pettistree, IP13 0HQ - Addition of PV to 15 No Specific Plots - 71, 72, 73, 74, 75, 78, 89, 90, 91, 92, 93, 99, 100, 101 & 102. Previously approved house type elevation drawings updated to reference PV to the above specific plots.","129","36120000","25284000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1K13QXHLK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1927/AME","Permitted","Permitted","26/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South And East Of Adastral Park Martlesham Heath Martlesham Suffolk","","Non Material Amendment of DC/24/4345/ARM - Approval of Reserved Matters for Parcel W5 of DC/24/2810/VOC (as varied from DC/23/3984/VOC; varied from DC/20/1234/VOC; varied from original planning permission DC/17/1435/OUT [Outline planning permission for up to 2000 dwellings, an employment area of 0.6ha (use class B1) primary local centre comprising use class A1, A2, A3, A4, A5, B1, C3, 02) secondary centre (comprising possible use class A1, A3 and A4), a school, green infrastructure (including Suitable Accessible Natural Green space (SANGs) outdoor play areas, sports ground and allotments/community orchards), public footpaths and cycleways, vehicle accesses and associated infrastructure]) - Construction of 69 homes (including 17 affordable homes) garage, parking, surface water drainage basin, internal access roads, landscaping and associated infrastructure (W5). This includes details submitted in compliance with conditions 10, 13, 16, 32, 44 and 67 and details submitted to formally discharge conditions 25, 26, 27, 28, 30(a), 42, 49 and 63 of DC/24/2810/VOC - Minor amendments to approved windows detailing relating only to house types 1144 (plots 54, 66 & 67) and 1317 (plots 6 & 25).","69","19320000","13524000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFN13IQXIZ300","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/00137/AMD1","Approved","Approved","16/03/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 281169 79019 Southbrook Road Bovey Tracey","","Non-material amendment (change plot 14 from HT-G+ to HT-F and to relocate garage on plot 27) on planning application 19/00137/MAJ for Hybrid planning application comprising a full application for 63 dwellings, together with access, landscaping, open space and associated infrastructure and an outline application for 3 self/custom build plots, with all matters reserved except for access.","63","18270000","12789000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1E7DPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1964/AME","Permitted","Permitted","27/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Primary School And East Of The Street Eyke Suffolk IP12 2QW","IP12 2QW","Non Material Amendment of DC/22/4775/FUL - Full planning application for erection of 65 dwellings (Use Class C3); change of use of Agricultural Land to provide for the expansion of the adjacent Eyke CE Primary School site (Use Class F1(a)); vehicular and pedestrian access from The Street; internal access road; car and cycle parking; Local Equipped Area for Play (LEAP); public open space; landscaping; Sustainable Urban Drainage Systems; and associated infrastructure including highway works. - An additional parking space is to be provided adjacent to the approved parking space for plot 45. There are no alterations to the house or materials. The external works details for walls remain as approved but the extent of the side wall and garden fence is adjusted to accommodate the parking space.","65","18200000","12740000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFPF7SQXJ0N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/04151/NMA01","Granted","Granted","17/03/2026","City of Bradford","non_material_amendment","west-yorkshire","bradford","Land Off Moss Carr Road Long Lee Keighley West Yorkshire","","Non material amendment to wording of condition 3 (plans) of planning permission 19/04151/MAO - Outline application for residential development of land for up to 103 dwellings requesting consideration of access. Amendment requested to remove reference to 'General' plan on condition 3 of this permission","103","16068000","11247600","156000","","","","","https://planning.bradford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1PM5DHGDM00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"13/01123/NMAM_3","Application Permitted","Application Permitted","16/04/2026","King's Lynn & West Norfolk Borough Council","non_material_amendment","norfolk","kings-lynn","Site At (Former) Fosters Sports Ground Wickets Lane Clenchwarton Norfolk","","NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 13/01123/OM: Outline Application: residential development up to 40 dwellings of which 8 will be affordable","40","10600000","7420000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDLUGUIVLSU00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1319/DRC","Permitted","Permitted","08/04/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land Rear Of No. 15 St Peters Close Charsfield Suffolk","","Discharge of Condition Nos. 5, 9 and 14 of DC/25/1370/VOC - Variation of Condition No. 19 of DC/23/3655/VOC - Variation of Condition(s) 2 of Planning Permission DC/21/2319/FUL - (Mixed Residential development of 18 Dwellings Including 6 x No. AffordableHomes with Associated Garages and Parking. Construction of Access Road off St Peters Close and Provision of New Vehicular Access to No. 15) - Drainage layout changes required due to site layout changes agreed under application DC/23/3655/VOC. Updated approved details list. - Landscape and ecological management plan, signing strategy and archaeological assessment.","18","5040000","3528000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD6AO7QXI1800","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
