"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"2025/02503/NMAT","Application Approved","Application Approved","","London Borough of Hammersmith & Fulham","non_material_amendment","greater-london","fulham","Hammersmith Town Hall King Street London W6 9JU","W6 9JU","Non-material amendment to planning permission (reference: 2018/01500/FUL) dated 30th April 2018 for the ""Demolition of 181-187 King Street, Town Hall Extension, Quaker Meeting House 20 Nigel Playfair Avenue (West), Register Office Nigel Playfair Avenue (West) and remainder of former Cineworld 207 King Street. Redevelopment, to include the Nigel Playfair Avenue (West) Car Park and Nigel Playfair Avenue (East), to provide four new build blocks comprising existing and new basements plus between six and eight storeys in height comprising 204 dwelling units (Class C3), retail (Class A1), Restaurant/caf� use (Class A3), Cinema (Class D2) and Office (Class B1) to include enterprise units; internal and external alterations and roof extension of the Grade II Listed Town Hall building to provide refurbished civic centre and new office use (Class B1); creation of a civic square and public realm works, play space, landscaping and associated residential and non-residential car parking (including disabled), cycle parking, motorcycle parking, access and servicing (EIA Development)"". Amendments sought to change from B1 to Use Class E under the new use class order and that no more than 50% of the area on floors 1 - 7 to be used as F1a Higher Education. The basement and parts of the ground floor are permitted for D2 cinema use; non material amendments to the use of the cinema screens as auditorium ancillary to the F1a is also sought.","204","128520000","89964000","650000","","","","","https://public-access.lbhf.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=T2OGZCBI0TR00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/2366/AME","Permitted","Permitted","30/06/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land North Of Candlet Road, Phase 2 Felixstowe Suffolk","","Non Material Amendment of DC/22/3182/ARM - Approval of Reserved Matters relating to Outline Planning Consent DC/15/1128/OUT - Phase 2 - Residential (305 Dwellings, open space and supporting services and infrastructure), land off Candlet Road, Felixstowe - Amendments to the elevation and floor plan for the Silverdale house type to reduce the number of windows on the side elevations and amend the internal layout to swap the locations of the lounge and kitchen.","305","85400000","59780000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=THG00KQXJOZ00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/02583/AMD6","Approved","Approved","21/07/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Challabrook Farm Challabrook Lane Bovey Tracey TQ13 9JZ","TQ13 9JZ","Non-material amendment (changes to conditions) to planning permission 19/02583/MAJ - Application for second phase of Residential Development of 128 dwellings. Outline Application for employment site and 5 self build dwelling plots.","128","37120000","25984000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIIY3UPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00840/2CN10","Application Permitted","Application Permitted","10/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Site Of Former Civic Offices Merrial Street Newcastle Under Lyme Staffordshire","","Application for approval of report detailing the enabling works for the site as required by condition 10 of planning permission 24/00840/FUL for Residential development comprising 175 dwellings and associated landscaping","175","33556250","23489375","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGFAM2BMHT000","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"262743PACBSD","Prior Approval Required and Refused","Prior Approval Required and Refused","10/07/2026","London Borough of Ealing","primary_consent","greater-london","ealing","26-30 Ealing Gateway Uxbridge Road Ealing W5 2AU","W5 2AU","Change of use from office floorspace (Use Class E(g)(i)) to residential x 68 flats (Use Class C3) (Class MA, 56 day Prior Approval Process)","68","25500000","17850000","505000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=THYZZDJMHTB00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"PL/26/0958","Recommendation Made","Approve with Conditions","14/08/2026","Reading Borough Council","primary_consent","berkshire","reading","ABATTOIRS ROAD, READING","","Extension of the temporary planning permission, as approved under PL/21/1010, for the now constructed and fully operational 40 no. sleeping units and 3 no. support units for rough sleepers until 31st March 2028. (amended)","40","13800000","9660000","345000","Mr Daryn  Inston","","Mr Daryn Inston","","https://publicregister.reading.gov.uk/pr/s/detail/a0zP200000B0lLZIAZ?c__r=Arcus_BE_Public_Register","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00678/2CN14","Application Permitted","Application Permitted","22/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Midway Multistorey Car Park The Midway Newcastle Under Lyme Staffordshire","","Application for approval of proposed scheme drainage report as required by condition 14 of planning permission reference 24/00678/FUL for Proposed repurposing of existing car park structure into new residential accommodation consisting of 111 apartments and associated communal facilities.","111","10406250","7284375","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIBFAOBM0DH00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"23/02302/AMD1","Approved","Approved","24/06/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 286686 74699 Sandygate Kingsteignton","","Non-material amendment on planning permission 23/02302/MAJ - Hybrid application for 33 dwellings, comprising a full application for 21 residential dwellings, of which 6 are affordable; outline application with only access under consideration for 4 dwellings and 8 custom and self- build plots - Revised plans and description (amended design to house type)","33","9570000","6699000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TH4PCAPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN16","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Proposal: Application for approval of Residential Framework Travel Plan (RFTP) as required by condition 16 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWR7BM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN14","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","condition_discharge","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of details of the provision of secure parking facilities for bicycles in relation to each dwelling as required by condition 14 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWPOBM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
