"week","assetId","template","formatSet","title","sourceUrl","hook","dataOverlay","cta","distribution"
"1","planning-1","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 249-unit Application for partial approval with respect to Parcel 3a of condition 27 Par in Bexley","/news/2026-09-15-20-00775-outm23-bexley-planning-approved","London Borough of Bexley has approved 249 residential units at Erith Quarry - Parcel 3A Carlton Road Erith Kent DA8 3SR. Local sold-price evidence indicates a median price of £420,000; high-level 70% LTGDV senior debt would be approximately £73,206,000.","Indicative 70% LTGDV funding view","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-2","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 215-unit Reserved Matters pursuant to Outline Planning Consent 191068 comprising the er in Wokingham","/news/2026-09-16-253142-wokingham-planning-approved","Wokingham Borough Council has approved 215 residential units at Parcels R7 and R13 Land at Phase 2b of the South Wokingham Strategic Development Location (SDL) Wokingham. Local sold-price evidence indicates a median price of £475,000; high-level 70% LTGDV senior debt would be approximately £71,487,500.","Indicative 70% LTGDV funding view","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-3","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 100-unit Application for modification of condition 2 for Substitution of revised engine in Harrogate","/news/2026-09-15-hamzb26-00525-mrc-harrogate-planning-approved","North Yorkshire Council has approved 100 residential units at Land On The South West Side Of 11 Harkness Drive Leeming Bar North Yorkshire DL7 9BB. Local sold-price evidence indicates a median price of £315,000; high-level 70% LTGDV senior debt would be approximately £22,050,000.","Indicative 70% LTGDV funding view","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-4","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 80-unit Change of use of existing buildings to create a mixed use scheme of 80 dwellin in Filton","/news/2026-09-14-p25-02361-f-filton-planning-approved","South Gloucestershire Council has approved 80 residential units at Land At Former Lucas Works Moravian Road Kingswood South Gloucestershire BS15 8NF. Local sold-price evidence indicates a median price of £335,000; high-level 70% LTGDV senior debt would be approximately £18,760,000.","Indicative 70% LTGDV funding view","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-5","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 75-unit Outline application with all matters reserved for construction of up to 75 dwe in Chatham","/news/2026-09-17-mc-25-0701-chatham-planning-approved","Medway Council has approved 75 residential units at Land To The North Of Stoke Road And East Of Walnut Tree Grove Hoo St. Werburgh ME3 9YB. Local sold-price evidence indicates a median price of £300,000; high-level 70% LTGDV senior debt would be approximately £15,750,000.","Indicative 70% LTGDV funding view","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"2","planning-6","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 80-unit Erection of 80 Dwellings, Access, Parking, Landscaping and all Associated Infr in Retford","/news/2026-09-18-24-00565-ful-retford-planning-approved","Bassetlaw District Council has approved 80 residential units at Land Adjoining Grove Road Retford Nottinghamshire. Local sold-price evidence indicates a median price of £200,000; high-level 70% LTGDV senior debt would be approximately £11,200,000.","Indicative 70% LTGDV funding view","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"2","planning-7","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 11-unit Proposed replacement of 11 non-fire compliant flat entrance doors in Marylebone","/news/2026-09-16-26-04316-lbc-marylebone-planning-approved","Westminster City Council has approved 11 residential units at 72 Gloucester Place London W1U 6HH. Local sold-price evidence indicates a median price of £822,300; high-level 70% LTGDV senior debt would be approximately £5,536,300.","Indicative 70% LTGDV funding view","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"2","planning-8","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 14-unit Demolition of all existing buildings and structures (excluding Woodcote House) in Epsom","/news/2026-09-18-25-01483-ful-epsom-planning-approved","Epsom and Ewell Borough Council has approved 14 residential units at Woodcote Stud Wilmerhatch Lane Epsom Surrey KT18 7UE. Local sold-price evidence indicates a median price of £560,000; high-level 70% LTGDV senior debt would be approximately £5,488,000.","Indicative 70% LTGDV funding view","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"2","planning-9","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 18-unit Listed Building Application: slimline secondary glazing panels to ground and f in Tonbridge","/news/2026-09-16-26-01062-lb-tonbridge-planning-approved","Tonbridge and Malling Borough Council has approved 18 residential units at The Portreeves House East Street Tonbridge Kent TN9 1HP. Local sold-price evidence indicates a median price of £407,500; high-level 70% LTGDV senior debt would be approximately £5,134,500.","Indicative 70% LTGDV funding view","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"2","planning-10","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 9-unit Permission in principle for redevelopment of buildings and hardstanding for mi in Amersham","/news/2026-09-18-pl-25-4022-pip-amersham-planning-approved","Buckinghamshire Council has approved 9 residential units at Dibden Hill Farm Dibden Hill Chalfont St Giles Buckinghamshire HP8 4RD. Local sold-price evidence indicates a median price of £725,000; high-level 70% LTGDV senior debt would be approximately £4,567,500.","Indicative 70% LTGDV funding view","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
