"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"26/01018/SCO","Granted","Granted","05/05/2026","Dacorum Borough Council","outline","hertfordshire","hemel-hempstead","Land At Bulbourne Road Grove Road Tring Hertfordshire","","Outline planning application for up to 400 dwellings with access from Grove Road and Bulbourne Road, internal routes, public open space, SuDS, walking/cycling infrastructure, and associated landscaping/enabling works","400","180000000","126000000","450000","","","","","https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TEK7XFFO04N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"21/00152/NMAM_5","Application Permitted","Application Permitted","01/05/2026","King's Lynn & West Norfolk Borough Council","non_material_amendment","norfolk","kings-lynn","Land S of Denver Hill N of Southern Bypass E of Nightingale Lane Downham Market Norfolk","","NON-MATERIAL AMENDMENT TO PEMISSION 21/00152/RMM: Reserved Matters, up to 300 dwellings and associated infrastructure and access","300","79500000","55650000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TEDMQ7IVIBB00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1658/DRC","Permitted","Permitted","05/05/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land South Of Chediston Street Halesworth Suffolk","","Discharge of Condition 3 of DC/21/5669/ARM - ""Residential development of 161 dwellings, together with associated infrastructure and open space - submission of Reserved Matters under Outline Planning Permission DC/20/1049/VOC and details to address the requirements of Conditions 22, 23, 32 and 33"" Discharging Condition 3 ""Prior to any above ground works details of all external facing and roofing materials shall be submitted to and approved by the Local Planning Authority,"" with HAL7-007L Materials Plan and HAL7 - Brick Comparison Updating previously approved bricks on specific plots:- - Plots 90 - 92, 130, 133 & 134 amended to Ibstock Brunswick Anique Red - Plots 75-83, 86-88, 93-94, 128-129, 131,132 & 135-140 amended to Ibstock Rosa Blanca - Plots 71-74, 84-85 & 89 amended to Ibstock New Ivanhoe Cream","161","45080000","31556000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TEJZQIQXIJN00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1404/DRC","Permitted","Permitted","15/04/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land West Of Mobbs Way Oulton Suffolk","","Discharge of Condition No. 12 of DC/22/4102/ARM - Approval of Reserved Matters for 73 Dwellings Phase 3B pursuant to application DC/15/0324/VOC - (Variation of Condition 31 and Removal of Condition 44 of DC/01/0977/OUT (Formerly W17802- Outline Application for a mixed-use development comprising of residential, neighbourhood shopping centre, community hall, primary school, play areas and country park)) - Lighting design strategy","73","20440000","14308000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDIY9GQXI5S00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1829/DRC","Permitted","Permitted","18/05/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land West Of Mobbs Way Oulton Suffolk","","Discharge of Condition No. 13 of DC/22/4102/ARM - (Approval of Reserved Matters for 73 Dwellings Phase 3B pursuant to application DC/15/0324/VOC - (Variation of Condition 31 and Removal of Condition 44 of DC/01/0977/OUT (Formerly W17802- Outline Application for a mixed-use development comprising of residential, neighbourhood shopping centre, community hall, primary school, play areas and country park)) Condition 13 - Landscape and Ecological Management Plan","73","20440000","14308000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF83CTQXITA00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1927/AME","Permitted","Permitted","26/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South And East Of Adastral Park Martlesham Heath Martlesham Suffolk","","Non Material Amendment of DC/24/4345/ARM - Approval of Reserved Matters for Parcel W5 of DC/24/2810/VOC (as varied from DC/23/3984/VOC; varied from DC/20/1234/VOC; varied from original planning permission DC/17/1435/OUT [Outline planning permission for up to 2000 dwellings, an employment area of 0.6ha (use class B1) primary local centre comprising use class A1, A2, A3, A4, A5, B1, C3, 02) secondary centre (comprising possible use class A1, A3 and A4), a school, green infrastructure (including Suitable Accessible Natural Green space (SANGs) outdoor play areas, sports ground and allotments/community orchards), public footpaths and cycleways, vehicle accesses and associated infrastructure]) - Construction of 69 homes (including 17 affordable homes) garage, parking, surface water drainage basin, internal access roads, landscaping and associated infrastructure (W5). This includes details submitted in compliance with conditions 10, 13, 16, 32, 44 and 67 and details submitted to formally discharge conditions 25, 26, 27, 28, 30(a), 42, 49 and 63 of DC/24/2810/VOC - Minor amendments to approved windows detailing relating only to house types 1144 (plots 54, 66 & 67) and 1317 (plots 6 & 25).","69","19320000","13524000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFN13IQXIZ300","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1964/AME","Permitted","Permitted","27/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Primary School And East Of The Street Eyke Suffolk IP12 2QW","IP12 2QW","Non Material Amendment of DC/22/4775/FUL - Full planning application for erection of 65 dwellings (Use Class C3); change of use of Agricultural Land to provide for the expansion of the adjacent Eyke CE Primary School site (Use Class F1(a)); vehicular and pedestrian access from The Street; internal access road; car and cycle parking; Local Equipped Area for Play (LEAP); public open space; landscaping; Sustainable Urban Drainage Systems; and associated infrastructure including highway works. - An additional parking space is to be provided adjacent to the approved parking space for plot 45. There are no alterations to the house or materials. The external works details for walls remain as approved but the extent of the side wall and garden fence is adjusted to accommodate the parking space.","65","18200000","12740000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFPF7SQXJ0N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"13/01123/NMAM_3","Application Permitted","Application Permitted","16/04/2026","King's Lynn & West Norfolk Borough Council","non_material_amendment","norfolk","kings-lynn","Site At (Former) Fosters Sports Ground Wickets Lane Clenchwarton Norfolk","","NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 13/01123/OM: Outline Application: residential development up to 40 dwellings of which 8 will be affordable","40","10600000","7420000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDLUGUIVLSU00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1850/DRC","Permitted","Permitted","19/05/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land At Rectory Lane Worlingham Suffolk","","Discharge of Condition No. 21 of DC/21/4154/FUL - Construction of 19 dwellings, new community centre with associated parking and two new access roads off Rectory Lane - Noise Management Plan","19","5320000","3724000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFAB3WQXIUS00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1831/AME","Permitted","Permitted","18/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Street Record Blythe Meadow Charsfield Suffolk","","Non Material Amendment of DC/25/1370/VOC - Variation of Condition No. 19 of DC/23/3655/VOC - Variation of Condition(s) 2 of Planning Permission DC/21/2319/FUL - (Mixed Residential development of 18 Dwellings Including 6 x No. AffordableHomes with Associated Garages and Parking. Construction of Access Road off St Peters Close and Provision of New Vehicular Access to No. 15) - Drainage layout changes required due to site layout changes agreed under application DC/23/3655/VOC. Updated approved details list - Updated site plan showing amendments to parking areas for plots 4,5,6 & 7","18","5040000","3528000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF83E4QXITE00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
